Dist.Name,Latitude,Longitude,"School Name",Address,Dist.Code,Enroll,Free,"% Free",Reduced,"% Reduced",Eligible,"% Eligible",County,"Accuracy Score",Latitude,Longitude,"Accuracy Score"
"Rsu 88/Msad 24",47.16608,-67.95308,"Van Buren District Secondary Sch","Van Buren District Secondary Sch, Maine",1218,95,49,51.58,5,5.26,54,56.84,Aroostook,0.67,47.166080,-67.953080,0.67
"Rsu 88/Msad 24",47.16608,-67.95308,"Van Buren Elementary School","Van Buren Elementary School, Maine",1218,217,142,65.44,13,5.99,155,71.43,Aroostook,0.67,47.166080,-67.953080,0.67
"Woodland School Department",45.157019,-67.404717,"Woodland Consolidated Sch","Woodland Consolidated Sch, Maine",1187,134,65,48.51,12,8.96,77,57.46,Aroostook,0.6,45.157019,-67.404717,0.6
"Arthur R. Gould Sch--Lcydc",,,"Arthur R. Gould Sch--Lcydc","675 Westbrook St, South Portland, Me  04104",1296,107,107,100,0,0,107,100,Cumberland,0,43.846490,-70.464839,0.22
"Becket Family Of Services",,,"Becket - Gorham","237 Dingley Spring Rd, Gorham, ME  04038",5027,7,7,100,0,0,7,100,Cumberland,0,43.712087705882,-70.531322441176,1
"Brunswick School Department",43.91172,-69.9405,"Brunswick High School","Brunswick High School, Maine",1026,846,191,22.58,56,6.62,247,29.2,Cumberland,0.67,43.911720,-69.940500,0.67
"Brunswick School Department",43.91172,-69.9405,"Brunswick Jr High School","Brunswick Jr High School, Maine",1026,501,134,26.75,30,5.99,164,32.73,Cumberland,0.67,43.911720,-69.940500,0.67
"Brunswick School Department",,,"Coffin School","20 Barrows St, Brunswick, ME  04011",1026,350,130,37.14,13,3.71,143,40.86,Cumberland,0,43.9011265,-69.97324725,1
"Brunswick School Department",,,"Harriet Beecher Stowe Elementary School","44 McKeen St, Brunswick, ME  04011",1026,694,227,32.71,47,6.77,274,39.48,Cumberland,0,43.907300428571,-69.973077714286,1
"Cape Elizabeth School Department",43.595512,-70.239559,"Cape Elizabeth High School","Cape Elizabeth High School, Maine",1029,554,43,7.76,6,1.08,49,8.84,Cumberland,0.67,43.595512,-70.239559,0.67
"Cape Elizabeth School Department",43.595512,-70.239559,"Cape Elizabeth Middle School","Cape Elizabeth Middle School, Maine",1029,546,34,6.23,7,1.28,41,7.51,Cumberland,0.67,43.595512,-70.239559,0.67
"Cape Elizabeth School Department",43.596473,-70.228658,"Pond Cove Elementary","Pond Cove Elementary, Maine",1029,573,32,5.58,7,1.22,39,6.81,Cumberland,0.6,43.596473,-70.228658,0.6
"Falmouth School Department",,,"Falmouth Elemetary School","58 Woodville Rd, Falmouth, ME  04105",1057,897,43,4.79,14,1.56,57,6.35,Cumberland,0,43.737114774194,-70.273799903226,1
"Falmouth School Department",,,"Falmouth High School","74 Woodville Rd, Falmouth, ME  04105",1057,710,25,3.52,9,1.27,34,4.79,Cumberland,0,43.735346258065,-70.275153967742,1
