Dist.Name,Latitude,Longitude,School Name,Address,ZIP,Dist.Code,Enroll,Free,% Free,Reduced,% Reduced,Eligible,% Eligible,County,Accuracy Score,Latitude,Longitude,Accuracy Score
Rsu 72 / Msad 72,43.97035,-70.8034,Denmark Elementary School,"Denmark Elementary School, Maine",,1264,99,33,33.33,7,7.07,40,40.4,Oxford,0.67,43.97035,-70.8034,0.67
Bangor School Department,46.696432,-67.867523,Fairmount School,"Fairmount School, Maine",,1011,269,170,63.2,20,7.43,190,70.63,Penobscot,0.53,46.696432,-67.867523,0.53
Glenburn Public Schools,44.910624,-68.847259,Glenburn Elementary School,"Glenburn Elementary School, Maine",,1063,479,133,27.77,40,8.35,173,36.12,Penobscot,0.53,44.910624,-68.847259,0.53
Indian Island,45.040655,-68.722962,Indian Island School,"Indian Island School, Maine",,1270,115,64,55.65,35,30.43,99,86.09,Penobscot,0.53,45.040655,-68.722962,0.53
Indian Township,45.211739,-67.629999,Peter Dana School,"Peter Dana School, Maine",,1271,145,97,66.9,14,9.66,111,76.55,Penobscot,0.53,45.211739,-67.629999,0.53
Kingman School,45.54951,-68.19946,Kingman Elementary School,"Kingman Elementary School, Maine",,5604,24,22,91.67,1,4.17,23,95.83,Penobscot,0.67,45.54951,-68.19946,0.67
Millinocket School Department,47.30532,-68.15198,Granite Street School,"Granite Street School, Maine",,1107,270,162,60,15,5.56,177,65.56,Penobscot,0.67,47.30532,-68.15198,0.67
No Penobscot Tech Center,44.748405,-68.806704,Northern Penobsct Tech Center,"Northern Penobsct Tech Center, Maine",,1276,200,98,49,21,10.5,119,59.5,Penobscot,0.53,44.748405,-68.806704,0.53
Rsu 19,45.575731,-69.909773,Newport Elementary School,"Newport Elementary School, Maine",,3165,297,149,50.17,22,7.41,171,57.58,Penobscot,0.67,45.575731,-69.909773,0.67
Rsu 22/Msad 22,44.74794,-68.83599,Hampden Academy,"Hampden Academy, Maine",,1216,699,135,19.31,37,5.29,172,24.61,Penobscot,0.67,44.74794,-68.83599,0.67
Rsu 31/Msad 31,45.248945,-68.568358,Enfield Station Elementary School,"Enfield Station Elementary School, Maine",,1225,259,140,54.05,38,14.67,178,68.73,Penobscot,0.6,45.248945,-68.568358,0.6
Rsu 31/Msad 31,44.433911,-68.721716,Penobscot Valley High School,"Penobscot Valley High School, Maine",,1225,166,76,45.78,30,18.07,106,63.86,Penobscot,0.67,44.433911,-68.721716,0.67
Rsu 34 Old Town/ Alton/ Bradley,45.040655,-68.722962,Old Town Elementary School,"Old Town Elementary School, Maine",,3172,562,244,43.42,45,8.01,289,51.42,Penobscot,0.67,45.040655,-68.722962,0.67
Rsu 34 Old Town/ Alton/ Bradley,45.040655,-68.722962,Old Town High School,"Old Town High School, Maine",,3172,492,195,39.63,33,6.71,228,46.34,Penobscot,0.67,45.040655,-68.722962,0.67
Rsu 63/Msad 63,44.79169,-68.577728,Eddington School,"Eddington School, Maine",,1257,187,64,34.22,12,6.42,76,40.64,Penobscot,0.67,44.79169,-68.577728,0.67
Rsu 64/Msad 64,45.058864,-68.95432,Bradford Elementary School,"Bradford Elementary School, Maine",,1258,102,57,55.88,11,10.78,68,66.67,Penobscot,0.67,45.058864,-68.95432,0.67
Rsu 64/Msad 64,44.180965,-70.891727,Central High School,"Central High School, Maine",,1258,376,137,36.44,48,12.77,185,49.2,Penobscot,0.67,44.180965,-70.891727,0.67
Rsu 64/Msad 64,44.180965,-70.891727,Central Middle School,"Central Middle School, Maine",,1258,264,130,49.24,26,9.85,156,59.09,Penobscot,0.67,44.180965,-70.891727,0.67
Rsu 64/Msad 64,44.918877,-68.965803,Kenduskeag Elementary School,"Kenduskeag Elementary School, Maine",,1258,120,57,47.5,11,9.17,68,56.67,Penobscot,0.67,44.918877,-68.965803,0.67
Rsu 64/Msad 64,44.894697,-69.142341,Stetson Elementary School,"Stetson Elementary School, Maine",,1258,45,20,44.44,2,4.44,22,48.89,Penobscot,0.67,44.894697,-69.142341,0.67
Foxcroft Academy,44.16035,-70.183943,Foxcroft Academy,"Foxcroft Academy, Maine",,1335,460,124,26.96,29,6.3,153,33.26,Piscataquis,0.53,44.16035,-70.183943,0.53
Greenville School Department,45.4666,-69.58907,Greenville Consolidated School,"Greenville Consolidated School, Maine",,1070,204,87,42.65,26,12.75,113,55.39,Piscataquis,0.67,45.4666,-69.58907,0.67
Rsu 41/Msad 41,45.351184,-69.058062,Brownville Elementary School,"Brownville Elementary School, Maine",,1235,107,71,66.36,16,14.95,87,81.31,Piscataquis,0.67,45.351184,-69.058062,0.67
Georgetown School Department,43.805389,-69.745295,Georgetown Central School,"Georgetown Central School, Maine",,1061,82,23,28.05,5,6.1,28,34.15,Sagadahoc,0.67,43.805389,-69.745295,0.67
Rsu 01 - Lower Kennebec Rsu,39.848111,-111.850284,Morse High School Bath 1171,"Morse High School Bath 1171, Maine",,3152,624,249,39.9,38,6.09,287,45.99,Sagadahoc,0.22,39.848111,-111.850284,0.22
Rsu 01 - Lower Kennebec Rsu,43.789616,-69.810821,Phippsburg Elementary School,"Phippsburg Elementary School, Maine",,3152,88,36,40.91,6,6.82,42,47.73,Sagadahoc,0.67,43.789616,-69.810821,0.67
Rsu 01 - Lower Kennebec Rsu,43.852011,-69.662658,West Bath School,"West Bath School, Maine",,3152,148,54,36.49,8,5.41,62,41.89,Sagadahoc,0.67,43.852011,-69.662658,0.67
Rsu 02 Kennebec Intra-District,44.108059,-69.827489,Richmond High School,"Richmond High School, Maine",,3156,148,45,30.41,8,5.41,53,35.81,Sagadahoc,0.67,44.108059,-69.827489,0.67
Rsu 02 Kennebec Intra-District,44.108059,-69.827489,Richmond Middle School,"Richmond Middle School, Maine",,3156,117,46,39.32,10,8.55,56,47.86,Sagadahoc,0.67,44.108059,-69.827489,0.67
Rsu 75/Msad 75,44.023162,-69.875816,Bowdoinham Community School,"Bowdoinham Community School, Maine",,1266,183,74,40.44,15,8.2,89,48.63,Sagadahoc,0.67,44.023162,-69.875816,0.67
Rsu 19,44.88152,-69.45866,Hartland Consolidated School,"Hartland Consolidated School, Maine",,3165,197,119,60.41,19,9.64,138,70.05,Somerset,0.67,44.88152,-69.45866,0.67
Rsu 49/Msad 49,44.646261,-69.680158,Fairfield Primary School,"Fairfield Primary School, Maine",,1243,166,106,63.86,14,8.43,120,72.29,Somerset,0.67,44.646261,-69.680158,0.67
Rsu 54 / Msad 54,43.77332,-70.616514,North Elementary School,"North Elementary School, Maine",,1248,185,126,68.11,10,5.41,136,73.51,Somerset,0.53,43.77332,-70.616514,0.53
Rsu 54 / Msad 54,44.769303,-69.593975,Skowhegan Area High School,"Skowhegan Area High School, Maine",,1248,821,421,51.28,70,8.53,491,59.81,Somerset,0.67,44.769303,-69.593975,0.67
