dist-code,dist-name,origname,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
785,Zzz N F I - North Weymouth,Zzz Curtis House,Curtis House,6,4,66.67,0,0,4,66.67
307,Zzz Nobleboro Union 074,Zzz Nobleboro Central School,Nobleboro Central School,125,38,30.4,15,12,53,42.4
540,Zzz Sad 40,Zzz Medomak Middle School,Medomak Middle School,293,137,46.76,45,15.36,182,62.12
540,Zzz Sad 40,Zzz Medomak Valley High School,Medomak Valley High School,615,249,40.49,68,11.06,317,51.54
540,Zzz Sad 40,Zzz Miller Grade School,Miller Grade School,349,201,57.59,33,9.46,234,67.05
401,Zzz So Bristol Union 74,Zzz South Bristol Elementary Sch,South Bristol Elementary Sch,70,15,21.43,10,14.29,25,35.71
398,Zzz Somerville Union 133,Zzz Somerville Elementary School,Somerville Elementary School,42,29,69.05,1,2.38,30,71.43
402,Zzz Southport Union 049,Zzz Southport Central School,Southport Central School,34,5,14.71,0,0,5,14.71
473,Zzz Whitefield Union 132,Zzz Whitefield Elementary School,Whitefield Elementary School,191,58,30.37,13,6.81,71,37.17
486,Zzz Wiscasset,Zzz Wiscasset High School,Wiscasset High School,249,72,28.92,34,13.65,106,42.57
486,Zzz Wiscasset,Zzz Wiscasset Middle School,Wiscasset Middle School,187,62,33.16,23,12.3,85,45.45
486,Zzz Wiscasset,Zzz Wiscasset Primary School,Wiscasset Primary School,244,108,44.26,27,11.07,135,55.33
952,Zzz Fryeburg Academy,Zzz Fryeburg Academy,Fryeburg Academy,690,148,21.45,28,4.06,176,25.51
897,Zzz Holy Savior School,Zzz Holy Savior Schools,Holy Savior Schools,71,5,7.04,0,0,5,7.04
858,Zzz Region 9 School Of Applied Technology,Zzz Region 9 School Of Applied Techno,Region 9 School Of Applied Techno,165,74,44.85,22,13.33,96,58.18
728,Zzz Rumford Group Home,Zzz Leeds Bridge Home,Leeds Bridge Home,6,6,100,0,0,6,100
728,Zzz Rumford Group Home,Zzz Roy House,Roy House,6,6,100,0,0,6,100
728,Zzz Rumford Group Home,Zzz Rumford Boys Home Now Greenleaf H,Rumford Boys Home Now Greenleaf H,8,8,100,0,0,8,100
728,Zzz Rumford Group Home,Zzz Transition House - Rumford Group,Transition House - Rumford Group,6,6,100,0,0,6,100
517,Zzz Sad 17,Zzz Agnes Gray School,Agnes Gray School,88,42,47.73,13,14.77,55,62.5
517,Zzz Sad 17,Zzz Guy E Rowe School,Guy E Rowe School,407,200,49.14,43,10.57,243,59.71
517,Zzz Sad 17,Zzz Hebron Elementary School,Hebron Elementary School,112,27,24.11,8,7.14,35,31.25
517,Zzz Sad 17,Zzz Legion Memorial School,Legion Memorial School,26,11,42.31,2,7.69,13,50
517,Zzz Sad 17,Zzz Otisfield Community School,Otisfield Community School,122,37,30.33,21,17.21,58,47.54
517,Zzz Sad 17,Zzz Oxford Elementary School,Oxford Elementary School,349,197,56.45,38,10.89,235,67.34
517,Zzz Sad 17,Zzz Oxford Hills Comprehensive Hs,Oxford Hills Comprehensive Hs,1072,436,40.67,109,10.17,545,50.84
517,Zzz Sad 17,Zzz Oxford Hills Middle Sch,Oxford Hills Middle Sch,545,234,42.94,60,11.01,294,53.94
517,Zzz Sad 17,Zzz Paris Elementary School,Paris Elementary School,406,206,50.74,50,12.32,256,63.05
517,Zzz Sad 17,Zzz Waterford Memorial School,Waterford Memorial School,115,66,57.39,3,2.61,69,60
521,Zzz Sad 21,Zzz Dirigo Elemntary School,Dirigo Elemntary School,365,168,46.03,27,7.4,195,53.42
521,Zzz Sad 21,Zzz Dirigo High School,Dirigo High School,341,111,32.55,31,9.09,142,41.64
521,Zzz Sad 21,Zzz Dirigo Middle School,Dirigo Middle School,245,87,35.51,22,8.98,109,44.49
539,Zzz Sad 39,Zzz Buckfield Jr-Sr High School,Buckfield Jr-Sr High School,302,133,44.04,31,10.26,164,54.3
539,Zzz Sad 39,Zzz Hartford-Sumner Elementary Sch,Hartford-Sumner Elementary Sch,331,139,41.99,36,10.88,175,52.87
543,Zzz Sad 43,Zzz Meroby Elementary School,Meroby Elementary School,345,196,56.81,19,5.51,215,62.32
